PERFUME_ID,OCCASION,ratio,LOAD_DT
8442,Leisure,33.33,2026-01-19 08:38:20
8442,Daily,16.67,2026-01-19 08:38:20
8442,Night Out,16.67,2026-01-19 08:38:20
8442,Business,16.67,2026-01-19 08:38:20
8442,Evening,16.67,2026-01-19 08:38:20
8447,Leisure,26.67,2026-01-19 08:38:20
8447,Daily,21.82,2026-01-19 08:38:20
8447,Business,20.0,2026-01-19 08:38:20
8448,Night Out,24.62,2026-01-19 08:38:20
8448,Evening,24.62,2026-01-19 08:38:20
8448,Leisure,23.08,2026-01-19 08:38:20
8448,Daily,16.92,2026-01-19 08:38:20
8450,Daily,29.03,2026-01-19 08:38:20
8450,Leisure,25.81,2026-01-19 08:38:20
8450,Business,19.35,2026-01-19 08:38:20
8451,Leisure,23.53,2026-01-19 08:38:20
8451,Daily,17.65,2026-01-19 08:38:20
8451,Night Out,17.65,2026-01-19 08:38:20
8451,Evening,17.65,2026-01-19 08:38:20
8452,Evening,22.22,2026-01-19 08:38:20
8452,Daily,20.0,2026-01-19 08:38:20
8452,Leisure,20.0,2026-01-19 08:38:20
8452,Business,20.0,2026-01-19 08:38:20
8452,Night Out,17.78,2026-01-19 08:38:20
8455,Leisure,27.91,2026-01-19 08:38:20
8455,Business,25.58,2026-01-19 08:38:20
8455,Daily,16.28,2026-01-19 08:38:20
8456,Leisure,27.78,2026-01-19 08:38:20
8456,Business,27.78,2026-01-19 08:38:20
8456,Daily,16.67,2026-01-19 08:38:20
8456,Night Out,16.67,2026-01-19 08:38:20
8457,Leisure,22.6,2026-01-19 08:38:20
8457,Evening,21.63,2026-01-19 08:38:20
8457,Daily,20.19,2026-01-19 08:38:20
8457,Night Out,18.75,2026-01-19 08:38:20
8457,Business,16.83,2026-01-19 08:38:20
8458,Daily,22.39,2026-01-19 08:38:20
8458,Business,20.96,2026-01-19 08:38:20
8458,Leisure,19.61,2026-01-19 08:38:20
8461,Daily,21.8,2026-01-19 08:38:20
8461,Leisure,21.51,2026-01-19 08:38:20
8461,Business,17.83,2026-01-19 08:38:20
8463,Leisure,29.25,2026-01-19 08:38:20
8463,Daily,26.53,2026-01-19 08:38:20
8463,Business,20.41,2026-01-19 08:38:20
8465,Daily,23.98,2026-01-19 08:38:20
8465,Leisure,23.82,2026-01-19 08:38:20
8465,Business,19.15,2026-01-19 08:38:20
8466,Leisure,31.58,2026-01-19 08:38:20
8466,Business,26.32,2026-01-19 08:38:20
8466,Daily,15.79,2026-01-19 08:38:20
8467,Daily,22.22,2026-01-19 08:38:20
8467,Leisure,22.22,2026-01-19 08:38:20
8467,Business,22.22,2026-01-19 08:38:20
8467,Evening,16.67,2026-01-19 08:38:20
8468,Daily,24.22,2026-01-19 08:38:20
8468,Leisure,24.22,2026-01-19 08:38:20
8468,Business,22.42,2026-01-19 08:38:20
8470,Daily,31.25,2026-01-19 08:38:20
8470,Leisure,31.25,2026-01-19 08:38:20
8470,Sport,25.0,2026-01-19 08:38:20
8471,Leisure,23.53,2026-01-19 08:38:20
8471,Night Out,23.53,2026-01-19 08:38:20
8471,Evening,23.53,2026-01-19 08:38:20
8471,Daily,17.65,2026-01-19 08:38:20
8472,Evening,27.37,2026-01-19 08:38:20
8472,Night Out,26.26,2026-01-19 08:38:20
8472,Daily,17.88,2026-01-19 08:38:20
8472,Leisure,16.76,2026-01-19 08:38:20
8473,Daily,21.13,2026-01-19 08:38:20
8473,Business,19.81,2026-01-19 08:38:20
8473,Leisure,18.82,2026-01-19 08:38:20
8473,Evening,17.67,2026-01-19 08:38:20
8473,Night Out,16.61,2026-01-19 08:38:20
8474,Leisure,32.14,2026-01-19 08:38:20
8474,Daily,25.0,2026-01-19 08:38:20
8474,Sport,25.0,2026-01-19 08:38:20
8474,Business,17.86,2026-01-19 08:38:20
8476,Leisure,22.96,2026-01-19 08:38:20
8476,Daily,20.41,2026-01-19 08:38:20
8476,Night Out,19.9,2026-01-19 08:38:20
8476,Evening,19.39,2026-01-19 08:38:20
8476,Business,17.35,2026-01-19 08:38:20
8477,Daily,25.0,2026-01-19 08:38:20
8477,Sport,25.0,2026-01-19 08:38:20
8477,Leisure,25.0,2026-01-19 08:38:20
8477,Business,18.75,2026-01-19 08:38:20
8478,Daily,28.57,2026-01-19 08:38:20
8478,Evening,28.57,2026-01-19 08:38:20
8482,Daily,20.83,2026-01-19 08:38:20
8482,Leisure,20.83,2026-01-19 08:38:20
8482,Business,20.83,2026-01-19 08:38:20
8482,Evening,16.67,2026-01-19 08:38:20
8488,Daily,24.38,2026-01-19 08:38:20
8488,Leisure,23.55,2026-01-19 08:38:20
8488,Business,21.9,2026-01-19 08:38:20
8488,Evening,17.36,2026-01-19 08:38:20
8489,Daily,31.25,2026-01-19 08:38:20
8489,Leisure,25.0,2026-01-19 08:38:20
8489,Business,25.0,2026-01-19 08:38:20
8490,Daily,25.0,2026-01-19 08:38:20
8490,Leisure,25.0,2026-01-19 08:38:20
8490,Evening,25.0,2026-01-19 08:38:20
8490,Night Out,18.75,2026-01-19 08:38:20
8491,Leisure,28.57,2026-01-19 08:38:20
8491,Business,28.57,2026-01-19 08:38:20
8492,Daily,23.85,2026-01-19 08:38:20
8492,Business,23.36,2026-01-19 08:38:20
8492,Leisure,21.42,2026-01-19 08:38:20
8493,Leisure,26.61,2026-01-19 08:38:20
8493,Evening,21.77,2026-01-19 08:38:20
8493,Night Out,19.35,2026-01-19 08:38:20
8493,Daily,16.13,2026-01-19 08:38:20
8494,Daily,25.0,2026-01-19 08:38:20
8494,Sport,25.0,2026-01-19 08:38:20
8494,Leisure,25.0,2026-01-19 08:38:20
8494,Business,25.0,2026-01-19 08:38:20
8495,Leisure,33.33,2026-01-19 08:38:20
8495,Night Out,33.33,2026-01-19 08:38:20
8495,Business,33.33,2026-01-19 08:38:20
8497,Evening,27.82,2026-01-19 08:38:20
8497,Night Out,25.32,2026-01-19 08:38:20
8497,Leisure,16.98,2026-01-19 08:38:20
8497,Daily,16.05,2026-01-19 08:38:20
8498,Leisure,41.67,2026-01-19 08:38:20
8498,Daily,33.33,2026-01-19 08:38:20
8498,Sport,16.67,2026-01-19 08:38:20
8499,Leisure,25.0,2026-01-19 08:38:20
8499,Night Out,25.0,2026-01-19 08:38:20
8499,Business,25.0,2026-01-19 08:38:20
8499,Evening,25.0,2026-01-19 08:38:20
8500,Evening,26.57,2026-01-19 08:38:20
