PERFUME_ID,GENDER,LOAD_DT
8715,Feminine,2026-01-19 08:09:16
8716,Unisex,2026-01-19 08:09:16
8717,Feminine,2026-01-19 08:09:16
8719,Feminine,2026-01-19 08:09:16
8720,Feminine,2026-01-19 08:09:16
8721,Unisex,2026-01-19 08:09:16
8724,Feminine,2026-01-19 08:09:16
8725,Feminine,2026-01-19 08:09:16
8727,Feminine,2026-01-19 08:09:16
8731,Feminine,2026-01-19 08:09:16
8732,Feminine,2026-01-19 08:09:16
8734,Feminine,2026-01-19 08:09:16
8738,Feminine,2026-01-19 08:09:16
8739,Feminine,2026-01-19 08:09:16
8740,Unisex,2026-01-19 08:09:16
8742,Unisex,2026-01-19 08:09:16
8743,Feminine,2026-01-19 08:09:16
8744,Feminine,2026-01-19 08:09:16
8746,Feminine,2026-01-19 08:09:16
8747,Feminine,2026-01-19 08:09:16
8748,Unisex,2026-01-19 08:09:16
8750,Unisex,2026-01-19 08:09:16
8751,Masculine,2026-01-19 08:09:16
8752,Feminine,2026-01-19 08:09:16
8754,Feminine,2026-01-19 08:09:16
8755,Masculine,2026-01-19 08:09:16
8756,Unisex,2026-01-19 08:09:16
8759,Feminine,2026-01-19 08:09:16
8760,Feminine,2026-01-19 08:09:16
8762,Masculine,2026-01-19 08:09:16
8763,Feminine,2026-01-19 08:09:16
8764,Feminine,2026-01-19 08:09:16
8766,Masculine,2026-01-19 08:09:16
8767,Feminine,2026-01-19 08:09:16
8768,Feminine,2026-01-19 08:09:16
8770,Feminine,2026-01-19 08:09:16
8771,Unisex,2026-01-19 08:09:16
8772,Unisex,2026-01-19 08:09:16
8774,Masculine,2026-01-19 08:09:16
8775,Feminine,2026-01-19 08:09:16
8776,Masculine,2026-01-19 08:09:16
8778,Feminine,2026-01-19 08:09:16
8779,Feminine,2026-01-19 08:09:16
8780,Feminine,2026-01-19 08:09:16
8782,Feminine,2026-01-19 08:09:16
8785,Unisex,2026-01-19 08:09:16
8788,Feminine,2026-01-19 08:09:16
8789,Feminine,2026-01-19 08:09:16
8790,Feminine,2026-01-19 08:09:16
8792,Feminine,2026-01-19 08:09:16
8793,Feminine,2026-01-19 08:09:16
8796,Masculine,2026-01-19 08:09:16
8797,Feminine,2026-01-19 08:09:16
8798,Unisex,2026-01-19 08:09:16
8801,Feminine,2026-01-19 08:09:16
8802,Feminine,2026-01-19 08:09:16
8804,Masculine,2026-01-19 08:09:16
8805,Feminine,2026-01-19 08:09:16
8806,Feminine,2026-01-19 08:09:16
8807,Masculine,2026-01-19 08:09:16
8809,Feminine,2026-01-19 08:09:16
8810,Unisex,2026-01-19 08:09:16
8811,Feminine,2026-01-19 08:09:16
8814,Feminine,2026-01-19 08:09:16
8817,Unisex,2026-01-19 08:09:16
8818,Feminine,2026-01-19 08:09:16
8819,Feminine,2026-01-19 08:09:16
8821,Feminine,2026-01-19 08:09:16
8822,Feminine,2026-01-19 08:09:16
8823,Feminine,2026-01-19 08:09:16
8825,Feminine,2026-01-19 08:09:16
8826,Feminine,2026-01-19 08:09:16
8827,Feminine,2026-01-19 08:09:16
8829,Feminine,2026-01-19 08:09:16
8830,Feminine,2026-01-19 08:09:16
8831,Feminine,2026-01-19 08:09:16
8832,Unisex,2026-01-19 08:09:16
8833,Feminine,2026-01-19 08:09:16
8834,Feminine,2026-01-19 08:09:16
8835,Feminine,2026-01-19 08:09:16
8837,Feminine,2026-01-19 08:09:16
8838,Feminine,2026-01-19 08:09:16
8840,Feminine,2026-01-19 08:09:16
8842,Unisex,2026-01-19 08:09:16
8843,Unisex,2026-01-19 08:09:16
8844,Feminine,2026-01-19 08:09:16
8846,Feminine,2026-01-19 08:09:16
8847,Feminine,2026-01-19 08:09:16
8848,Unisex,2026-01-19 08:09:16
8849,Feminine,2026-01-19 08:09:16
8850,Feminine,2026-01-19 08:09:16
8852,Feminine,2026-01-19 08:09:16
8853,Feminine,2026-01-19 08:09:16
8854,Feminine,2026-01-19 08:09:16
8855,Unisex,2026-01-19 08:09:16
8856,Unisex,2026-01-19 08:09:16
8857,Feminine,2026-01-19 08:09:16
8858,Feminine,2026-01-19 08:09:16
8859,Feminine,2026-01-19 08:09:16
8860,Unisex,2026-01-19 08:09:16
8861,Feminine,2026-01-19 08:09:16
8862,Masculine,2026-01-19 08:09:16
8863,Unisex,2026-01-19 08:09:16
8864,Feminine,2026-01-19 08:09:16
8865,Masculine,2026-01-19 08:09:16
8866,Feminine,2026-01-19 08:09:16
8867,Feminine,2026-01-19 08:09:16
8868,Unisex,2026-01-19 08:09:16
8869,Unisex,2026-01-19 08:09:16
8870,Unisex,2026-01-19 08:09:16
8871,Masculine,2026-01-19 08:09:16
8872,Feminine,2026-01-19 08:09:16
8873,Unisex,2026-01-19 08:09:16
8874,Masculine,2026-01-19 08:09:16
8875,Feminine,2026-01-19 08:09:16
8876,Feminine,2026-01-19 08:09:16
8877,Unisex,2026-01-19 08:09:16
8878,Masculine,2026-01-19 08:09:16
8879,Feminine,2026-01-19 08:09:16
8880,Feminine,2026-01-19 08:09:16
8881,Feminine,2026-01-19 08:09:16
8882,Feminine,2026-01-19 08:09:16
8883,Feminine,2026-01-19 08:09:16
8884,Feminine,2026-01-19 08:09:16
8885,Masculine,2026-01-19 08:09:16
8886,Feminine,2026-01-19 08:09:16
8888,Feminine,2026-01-19 08:09:16
8889,Unisex,2026-01-19 08:09:16
8891,Masculine,2026-01-19 08:09:16
8893,Unisex,2026-01-19 08:09:16
8894,Unisex,2026-01-19 08:09:16
8895,Unisex,2026-01-19 08:09:16
8896,Feminine,2026-01-19 08:09:16
8898,Feminine,2026-01-19 08:09:16
8899,Feminine,2026-01-19 08:09:16
8900,Feminine,2026-01-19 08:09:16
8901,Unisex,2026-01-19 08:09:16
8905,Feminine,2026-01-19 08:09:16
8906,Unisex,2026-01-19 08:09:16
8907,Unisex,2026-01-19 08:09:16
8908,Feminine,2026-01-19 08:09:16
8909,Unisex,2026-01-19 08:09:16
8910,Feminine,2026-01-19 08:09:16
8911,Feminine,2026-01-19 08:09:16
8912,Feminine,2026-01-19 08:09:16
8913,Unisex,2026-01-19 08:09:16
8914,Masculine,2026-01-19 08:09:16
8917,Unisex,2026-01-19 08:09:16
8919,Masculine,2026-01-19 08:09:16
8920,Masculine,2026-01-19 08:09:16
8921,Feminine,2026-01-19 08:09:16
8922,Feminine,2026-01-19 08:09:16
8923,Feminine,2026-01-19 08:09:16
8924,Feminine,2026-01-19 08:09:16
8926,Feminine,2026-01-19 08:09:16
8927,Feminine,2026-01-19 08:09:16
8928,Feminine,2026-01-19 08:09:16
8929,Unisex,2026-01-19 08:09:16
8930,Feminine,2026-01-19 08:09:16
8931,Unisex,2026-01-19 08:09:16
8933,Unisex,2026-01-19 08:09:16
8934,Feminine,2026-01-19 08:09:16
8935,Masculine,2026-01-19 08:09:16
8936,Feminine,2026-01-19 08:09:16
8937,Unisex,2026-01-19 08:09:16
8938,Feminine,2026-01-19 08:09:16
8939,Masculine,2026-01-19 08:09:16
8940,Feminine,2026-01-19 08:09:16
8941,Unisex,2026-01-19 08:09:16
8942,Feminine,2026-01-19 08:09:16
8943,Masculine,2026-01-19 08:09:16
8944,Unisex,2026-01-19 08:09:16
8945,Feminine,2026-01-19 08:09:16
8946,Feminine,2026-01-19 08:09:16
8947,Masculine,2026-01-19 08:09:16
8948,Feminine,2026-01-19 08:09:16
8950,Feminine,2026-01-19 08:09:16
8951,Unisex,2026-01-19 08:09:16
8952,Unisex,2026-01-19 08:09:16
8954,Feminine,2026-01-19 08:09:16
8957,Masculine,2026-01-19 08:09:16
8958,Feminine,2026-01-19 08:09:16
8959,Unisex,2026-01-19 08:09:16
8960,Feminine,2026-01-19 08:09:16
8962,Feminine,2026-01-19 08:09:16
8963,Unisex,2026-01-19 08:09:16
8964,Feminine,2026-01-19 08:09:16
8966,Masculine,2026-01-19 08:09:16
8967,Feminine,2026-01-19 08:09:16
8968,Feminine,2026-01-19 08:09:16
8969,Feminine,2026-01-19 08:09:16
8970,Feminine,2026-01-19 08:09:16
8971,Feminine,2026-01-19 08:09:16
8972,Unisex,2026-01-19 08:09:16
8973,Feminine,2026-01-19 08:09:16
8974,Feminine,2026-01-19 08:09:16
8976,Unisex,2026-01-19 08:09:16
8977,Feminine,2026-01-19 08:09:16
8978,Feminine,2026-01-19 08:09:16
8981,Feminine,2026-01-19 08:09:16
8982,Feminine,2026-01-19 08:09:16
8983,Feminine,2026-01-19 08:09:16
8985,Feminine,2026-01-19 08:09:16
8986,Unisex,2026-01-19 08:09:16
8987,Feminine,2026-01-19 08:09:16
8988,Unisex,2026-01-19 08:09:16
8989,Unisex,2026-01-19 08:09:16
8990,Feminine,2026-01-19 08:09:16
8991,Unisex,2026-01-19 08:09:16
8992,Unisex,2026-01-19 08:09:16
8995,Unisex,2026-01-19 08:09:16
8996,Unisex,2026-01-19 08:09:16
8998,Feminine,2026-01-19 08:09:16
8999,Feminine,2026-01-19 08:09:16
9000,Unisex,2026-01-19 08:09:16
9001,Masculine,2026-01-19 08:09:16
9003,Feminine,2026-01-19 08:09:16
9004,Unisex,2026-01-19 08:09:16
9005,Unisex,2026-01-19 08:09:16
9006,Unisex,2026-01-19 08:09:16
9007,Feminine,2026-01-19 08:09:16
9009,Unisex,2026-01-19 08:09:16
9010,Feminine,2026-01-19 08:09:16
9011,Unisex,2026-01-19 08:09:16
9013,Masculine,2026-01-19 08:09:16
9014,Unisex,2026-01-19 08:09:16
9015,Feminine,2026-01-19 08:09:16
9016,Feminine,2026-01-19 08:09:16
9018,Feminine,2026-01-19 08:09:16
9020,Unisex,2026-01-19 08:09:16
9022,Feminine,2026-01-19 08:09:16
9023,Feminine,2026-01-19 08:09:16
9024,Feminine,2026-01-19 08:09:16
9025,Feminine,2026-01-19 08:09:16
9026,Feminine,2026-01-19 08:09:16
9028,Masculine,2026-01-19 08:09:16
9030,Feminine,2026-01-19 08:09:16
9031,Unisex,2026-01-19 08:09:16
9032,Feminine,2026-01-19 08:09:16
9035,Feminine,2026-01-19 08:09:16
9036,Feminine,2026-01-19 08:09:16
9037,Feminine,2026-01-19 08:09:16
9040,Masculine,2026-01-19 08:09:16
9041,Unisex,2026-01-19 08:09:16
9042,Feminine,2026-01-19 08:09:16
9043,Masculine,2026-01-19 08:09:16
9044,Unisex,2026-01-19 08:09:16
9045,Masculine,2026-01-19 08:09:16
9046,Feminine,2026-01-19 08:09:16
9047,Masculine,2026-01-19 08:09:16
9048,Feminine,2026-01-19 08:09:16
9049,Feminine,2026-01-19 08:09:16
9050,Feminine,2026-01-19 08:09:16
9051,Feminine,2026-01-19 08:09:16
9052,Feminine,2026-01-19 08:09:16
9053,Feminine,2026-01-19 08:09:16
9054,Masculine,2026-01-19 08:09:16
9055,Masculine,2026-01-19 08:09:16
9056,Feminine,2026-01-19 08:09:16
9057,Masculine,2026-01-19 08:09:16
9058,Feminine,2026-01-19 08:09:16
9059,Feminine,2026-01-19 08:09:16
9060,Feminine,2026-01-19 08:09:16
9061,Feminine,2026-01-19 08:09:16
9062,Feminine,2026-01-19 08:09:16
9063,Feminine,2026-01-19 08:09:16
9064,Masculine,2026-01-19 08:09:16
9065,Masculine,2026-01-19 08:09:16
9066,Feminine,2026-01-19 08:09:16
9068,Masculine,2026-01-19 08:09:16
9070,Masculine,2026-01-19 08:09:16
9071,Feminine,2026-01-19 08:09:16
9072,Feminine,2026-01-19 08:09:16
9073,Masculine,2026-01-19 08:09:16
9074,Feminine,2026-01-19 08:09:16
9076,Feminine,2026-01-19 08:09:16
9078,Feminine,2026-01-19 08:09:16
9079,Masculine,2026-01-19 08:09:16
9080,Unisex,2026-01-19 08:09:16
9081,Feminine,2026-01-19 08:09:16
9082,Feminine,2026-01-19 08:09:16
9083,Unisex,2026-01-19 08:09:16
9084,Feminine,2026-01-19 08:09:16
9085,Unisex,2026-01-19 08:09:16
9086,Feminine,2026-01-19 08:09:16
9087,Unisex,2026-01-19 08:09:16
9088,Unisex,2026-01-19 08:09:16
9089,Unisex,2026-01-19 08:09:16
9090,Feminine,2026-01-19 08:09:16
9091,Masculine,2026-01-19 08:09:16
9092,Unisex,2026-01-19 08:09:16
9094,Feminine,2026-01-19 08:09:16
9095,Feminine,2026-01-19 08:09:16
9096,Feminine,2026-01-19 08:09:16
9098,Masculine,2026-01-19 08:09:16
9099,Feminine,2026-01-19 08:09:16
9100,Unisex,2026-01-19 08:09:16
9101,Feminine,2026-01-19 08:09:16
9102,Feminine,2026-01-19 08:09:16
9103,Masculine,2026-01-19 08:09:16
9104,Feminine,2026-01-19 08:09:16
9105,Feminine,2026-01-19 08:09:16
9106,Unisex,2026-01-19 08:09:16
9107,Feminine,2026-01-19 08:09:16
9108,Masculine,2026-01-19 08:09:16
9110,Feminine,2026-01-19 08:09:16
9111,Masculine,2026-01-19 08:09:16
9112,Feminine,2026-01-19 08:09:16
9113,Feminine,2026-01-19 08:09:16
9114,Feminine,2026-01-19 08:09:16
9115,Masculine,2026-01-19 08:09:16
9116,Feminine,2026-01-19 08:09:16
9117,Feminine,2026-01-19 08:09:16
9118,Unisex,2026-01-19 08:09:16
9120,Feminine,2026-01-19 08:09:16
9121,Masculine,2026-01-19 08:09:16
9122,Feminine,2026-01-19 08:09:16
9123,Unisex,2026-01-19 08:09:16
9124,Feminine,2026-01-19 08:09:16
9125,Feminine,2026-01-19 08:09:16
9126,Feminine,2026-01-19 08:09:16
9127,Feminine,2026-01-19 08:09:16
9130,Feminine,2026-01-19 08:09:16
9131,Masculine,2026-01-19 08:09:16
9132,Feminine,2026-01-19 08:09:16
9133,Masculine,2026-01-19 08:09:16
9134,Feminine,2026-01-19 08:09:16
9135,Feminine,2026-01-19 08:09:16
9138,Unisex,2026-01-19 08:09:16
9139,Masculine,2026-01-19 08:09:16
9140,Feminine,2026-01-19 08:09:16
9142,Feminine,2026-01-19 08:09:16
9143,Feminine,2026-01-19 08:09:16
9146,Masculine,2026-01-19 08:09:16
9148,Unisex,2026-01-19 08:09:16
9150,Unisex,2026-01-19 08:09:16
9151,Feminine,2026-01-19 08:09:16
9152,Masculine,2026-01-19 08:09:16
9154,Unisex,2026-01-19 08:09:16
9158,Unisex,2026-01-19 08:09:16
9160,Feminine,2026-01-19 08:09:16
9162,Unisex,2026-01-19 08:09:16
9166,Unisex,2026-01-19 08:09:16
9169,Feminine,2026-01-19 08:09:16
9170,Feminine,2026-01-19 08:09:16
9173,Masculine,2026-01-19 08:09:16
9174,Unisex,2026-01-19 08:09:16
9177,Feminine,2026-01-19 08:09:16
9178,Masculine,2026-01-19 08:09:16
9179,Feminine,2026-01-19 08:09:16
9184,Masculine,2026-01-19 08:09:16
9186,Unisex,2026-01-19 08:09:16
9189,Feminine,2026-01-19 08:09:16
9192,Masculine,2026-01-19 08:09:16
9196,Feminine,2026-01-19 08:09:16
9197,Feminine,2026-01-19 08:09:16
9200,Unisex,2026-01-19 08:09:16
9201,Feminine,2026-01-19 08:09:16
9202,Feminine,2026-01-19 08:09:16
9204,Masculine,2026-01-19 08:09:16
9205,Feminine,2026-01-19 08:09:16
9206,Masculine,2026-01-19 08:09:16
9208,Masculine,2026-01-19 08:09:16
9209,Feminine,2026-01-19 08:09:16
9210,Feminine,2026-01-19 08:09:16
9212,Feminine,2026-01-19 08:09:16
9213,Masculine,2026-01-19 08:09:16
9214,Masculine,2026-01-19 08:09:16
9216,Feminine,2026-01-19 08:09:16
9217,Masculine,2026-01-19 08:09:16
9219,Masculine,2026-01-19 08:09:16
9221,Feminine,2026-01-19 08:09:16
9223,Masculine,2026-01-19 08:09:16
9224,Masculine,2026-01-19 08:09:16
9225,Feminine,2026-01-19 08:09:16
9227,Feminine,2026-01-19 08:09:16
9228,Feminine,2026-01-19 08:09:16
9229,Feminine,2026-01-19 08:09:16
9231,Feminine,2026-01-19 08:09:16
9232,Feminine,2026-01-19 08:09:16
9233,Masculine,2026-01-19 08:09:16
9235,Feminine,2026-01-19 08:09:16
9236,Masculine,2026-01-19 08:09:16
9237,Feminine,2026-01-19 08:09:16
9239,Feminine,2026-01-19 08:09:16
9240,Masculine,2026-01-19 08:09:16
9243,Masculine,2026-01-19 08:09:16
9244,Unisex,2026-01-19 08:09:16
9245,Feminine,2026-01-19 08:09:16
9247,Masculine,2026-01-19 08:09:16
9248,Masculine,2026-01-19 08:09:16
9251,Feminine,2026-01-19 08:09:16
9252,Masculine,2026-01-19 08:09:16
9255,Feminine,2026-01-19 08:09:16
9265,Masculine,2026-01-19 08:09:16
9266,Masculine,2026-01-19 08:09:16
9269,Feminine,2026-01-19 08:09:16
9270,Feminine,2026-01-19 08:09:16
9274,Masculine,2026-01-19 08:09:16
9275,Feminine,2026-01-19 08:09:16
9278,Masculine,2026-01-19 08:09:16
9279,Feminine,2026-01-19 08:09:16
9281,Masculine,2026-01-19 08:09:16
9285,Feminine,2026-01-19 08:09:16
9287,Masculine,2026-01-19 08:09:16
9289,Masculine,2026-01-19 08:09:16
9291,Feminine,2026-01-19 08:09:16
9293,Masculine,2026-01-19 08:09:16
9295,Feminine,2026-01-19 08:09:16
9297,Feminine,2026-01-19 08:09:16
9299,Unisex,2026-01-19 08:09:16
9300,Unisex,2026-01-19 08:09:16
9302,Feminine,2026-01-19 08:09:16
9306,Feminine,2026-01-19 08:09:16
9307,Masculine,2026-01-19 08:09:16
9308,Feminine,2026-01-19 08:09:16
9310,Feminine,2026-01-19 08:09:16
9311,Unisex,2026-01-19 08:09:16
9312,Masculine,2026-01-19 08:09:16
9314,Feminine,2026-01-19 08:09:16
9318,Feminine,2026-01-19 08:09:16
9319,Unisex,2026-01-19 08:09:16
9322,Feminine,2026-01-19 08:09:16
9324,Feminine,2026-01-19 08:09:16
9328,Unisex,2026-01-19 08:09:16
9335,Unisex,2026-01-19 08:09:16
9336,Unisex,2026-01-19 08:09:16
9339,Feminine,2026-01-19 08:09:16
9342,Unisex,2026-01-19 08:09:16
9345,Masculine,2026-01-19 08:09:16
9346,Unisex,2026-01-19 08:09:16
9347,Unisex,2026-01-19 08:09:16
9348,Feminine,2026-01-19 08:09:16
9349,Masculine,2026-01-19 08:09:16
9350,Unisex,2026-01-19 08:09:16
